ProductCode,SelectionGroup,GrpOrder,PartNumber,Order,Active,DefaultItem,ExclusionRule,Cost,Name,Description,AdditionalData,EnglishUS,EnglishUS_LongDesc,French,French_LongDesc,German,German_LongDesc,Spanish,Spanish_LongDesc,Russian,Russian_LongDesc
FPD470_2,CH/FPD/END/CONN/RAT,9,D0,7,TRUE,FALSE,CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=P1 OR CH/FPD/END/CONN/TYPE=S1,0,PN 6,PN 6,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/RAT,9,D1,8,TRUE,FALSE,CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=P1 OR CH/FPD/END/CONN/TYPE=S1,0,PN 10,PN 10,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/RAT,9,D2,9,TRUE,FALSE,CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=P1 OR CH/FPD/END/CONN/TYPE=S1,0,PN 16,PN 16,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/RAT,9,D3,10,TRUE,FALSE,CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=P1 OR CH/FPD/END/CONN/TYPE=S1,0,PN 25,PN 25,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/RAT,9,D4,11,TRUE,FALSE,CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=P1 OR CH/FPD/END/CONN/TYPE=S1,0,PN 40,PN 40,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/RAT,9,D5,12,TRUE,FALSE,CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=P1 OR CH/FPD/END/CONN/TYPE=S1,0,PN 63,PN 63,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/RAT,9,D6,13,TRUE,FALSE,CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=P1 OR CH/FPD/END/CONN/TYPE=S1,0,PN 100,PN 100,,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/RAT,9,Y0,36,TRUE,FALSE,NOT(CH/FPD/END/CONN/TYPE=P1),999999,Not Flanged,Not Flanged,Customer,,,,,,,,,,
FPD470_2,CH/FPD/END/CONN/RAT,9,Z9,37,TRUE,FALSE,,999999,Others,Others,Customer,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/TYPE,10,F1,1,TRUE,FALSE,CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=F2 OR CH/FPD/END/CONN/TYPE=F3,0,Flanged RF,Flanged RF,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/TYPE,10,F2,2,TRUE,FALSE,NOT(CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=P1 OR CH/FPD/END/CONN/TYPE=Z9),0,Flanged RTJ (not DIN),Flanged RTJ (not DIN),,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/TYPE,10,F3,3,TRUE,FALSE,CH/FPD/END/CONN/TYPE=J2 OR CH/FPD/END/CONN/TYPE=R2 OR CH/FPD/END/CONN/TYPE=R3 OR CH/FPD/END/CONN/TYPE=S1,999999,Flanged FF (not DIN),Flanged FF (not DIN),,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/TYPE,10,W1,4,TRUE,FALSE,,0,Weld Prepared Pipe,Weld Prepared Pipe,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/TYPE,11,Z9,4,TRUE,FALSE,,999999,Others,Others,Customer,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/SIZE,11,T7,1,TRUE,FALSE,,0,2 in.,2 in.,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/SIZE,11,T8,2,TRUE,FALSE,,0,3 in.,3 in.,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/SIZE,11,T9,3,TRUE,FALSE,,999999,4 in.,4 in.,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/SIZE,11,Z9,4,TRUE,FALSE,,999999,Others,Others,Customer,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/RAT,12,A1,8,TRUE,FALSE,NOT(CH/FPD/TAPPING/TYPE=F1 OR CH/FPD/TAPPING/TYPE=F2 OR CH/FPD/TAPPING/TYPE=F3) OR NOT(CH/FPD/END/CONN/RAT=A1 OR CH/FPD/END/CONN/RAT=Y0),0,ASME Class 150,ASME Class 150,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/RAT,12,A3,9,TRUE,FALSE,NOT(CH/FPD/TAPPING/TYPE=F1 OR CH/FPD/TAPPING/TYPE=F2 OR CH/FPD/TAPPING/TYPE=F3) OR NOT(CH/FPD/END/CONN/RAT=A3 OR CH/FPD/END/CONN/RAT=Y0),0,ASME Class 300,ASME Class 300,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/RAT,12,A6,10,TRUE,FALSE,NOT(CH/FPD/TAPPING/TYPE=F1 OR CH/FPD/TAPPING/TYPE=F2 OR CH/FPD/TAPPING/TYPE=F3) OR NOT(CH/FPD/END/CONN/RAT=A6 OR CH/FPD/END/CONN/RAT=Y0),0,ASME Class 600,ASME Class 600,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/RAT,12,A7,11,TRUE,FALSE,NOT(CH/FPD/TAPPING/TYPE=F1 OR CH/FPD/TAPPING/TYPE=F2 OR CH/FPD/TAPPING/TYPE=F3) OR NOT(CH/FPD/END/CONN/RAT=A7 OR CH/FPD/END/CONN/RAT=Y0),0,ASME Class 900,ASME Class 900,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/RAT,12,A8,12,TRUE,FALSE,NOT(CH/FPD/TAPPING/TYPE=F1 OR CH/FPD/TAPPING/TYPE=F2 OR CH/FPD/TAPPING/TYPE=F3) OR NOT(CH/FPD/END/CONN/RAT=A8 OR CH/FPD/END/CONN/RAT=Y0),0,ASME Class 1500,ASME Class 1500,,,,,,,,,,,
FPD470_2,CH/FPD/TAPPING/RAT,12,A9,13,TRUE,FALSE,NOT(CH/FPD/TAPPING/TYPE=F1 OR CH/FPD/TAPPING/TYPE=F2 OR CH/FPD/TAPPING/TYPE=F3) OR NOT(CH/FPD/END/CONN/RAT=A9 OR CH/FPD/END/CONN/RAT=Y0),999999,ASME Class 2500,ASME Class 2500,,,,,,,,,,,
