"ColumnName","Value","Units","UnitsType","Expression","Notes"
"GADimensionA","882.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp46 AND Exp27","O/DIA A = 882.5mm"
"GADimensionA","832","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp47 AND Exp16","O/DIA A = 832mm"
"GADimensionA","898.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp47 AND Exp31","O/DIA A = 898.5mm"
"GADimensionA","892","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp47 AND Exp33","O/DIA A = 892mm"
"GADimensionA","914.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp47 AND Exp34","O/DIA A = 914.5mm"
"GADimensionA","946","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp47 AND Exp27","O/DIA A = 946mm"
"GADimensionA","882.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp48 AND Exp16","O/DIA A = 882.5mm"
"GADimensionA","952.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp48 AND Exp31","O/DIA A = 952.5mm"
"GADimensionA","946","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp48 AND Exp33","O/DIA A = 946mm"
"GADimensionA","971.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp48 AND Exp34","O/DIA A = 971.5mm"
"GADimensionA","1009.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp48 AND Exp27","O/DIA A = 1009.5mm"
"GADimensionA","940","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp49 AND Exp16","O/DIA A = 940mm"
"GADimensionA","1006.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp49 AND Exp31","O/DIA A = 1006.5mm"
"GADimensionA","1003.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp49 AND Exp33","O/DIA A = 1003.5mm"
"GADimensionA","1022.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp49 AND Exp34","O/DIA A = 1022.5mm"
"GADimensionA","1073","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp49 AND Exp27","O/DIA A = 1073mm"
"GADimensionA","990.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp50 AND Exp16","O/DIA A = 990.5mm"
"GADimensionA","1057","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp50 AND Exp31","O/DIA A = 1057mm"
"GADimensionA","1054","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp50 AND Exp33","O/DIA A = 1054mm"
"GADimensionA","1073","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp50 AND Exp34","O/DIA A = 1073mm"
"GADimensionA","1136.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp50 AND Exp27","O/DIA A = 1136.5mm"
"GADimensionA","1048","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp51 AND Exp16","O/DIA A = 1048mm"
"GADimensionA","1117.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp51 AND Exp52","O/DIA A = 1117.5mm"
"GADimensionA","1130.5","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp51 AND Exp34","O/DIA A = 1130.5mm"
"GADimensionA","1200","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp13 AND Exp14 AND Exp51 AND Exp27","O/DIA A = 1200mm"
"GADimensionH","87.25","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp21 AND Exp31 AND Exp6 AND Exp57","87.25"
"GADimensionH","90.55","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp23 AND Exp31 AND Exp6 AND Exp57","90.55"
"GADimensionH","90.55","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp24 AND Exp31 AND Exp6 AND Exp57","90.55"
"GADimensionH","93.6","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp25 AND Exp31 AND Exp6 AND Exp57","93.6"
"GADimensionH","93.6","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp26 AND Exp31 AND Exp6 AND Exp57","93.6"
"GADimensionH","96.2","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp32 AND Exp31 AND Exp6 AND Exp57","96.2"
"GADimensionH","104.8","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp36 AND Exp31 AND Exp6 AND Exp57","104.8"
"GADimensionH","115.95","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp37 AND Exp31 AND Exp6 AND Exp57","115.95"
"GADimensionH","122.05","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp38 AND Exp31 AND Exp6 AND Exp57","122.05"
"GADimensionH","134.75","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp39 AND Exp31 AND Exp6 AND Exp57","134.75"
"GADimensionH","147.45","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp40 AND Exp31 AND Exp6 AND Exp57","147.45"
"GADimensionH","150.75","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp41 AND Exp31 AND Exp6 AND Exp57","150.75"
"GADimensionH","163.45","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp42 AND Exp31 AND Exp6 AND Exp57","163.45"
"GADimensionH","166.75","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp43 AND Exp31 AND Exp6 AND Exp57","166.75"
"GADimensionH","172.85","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp45 AND Exp31 AND Exp6 AND Exp57","172.85"
"GADimensionH","188.85","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp46 AND Exp31 AND Exp6 AND Exp57","188.85"
"GADimensionH","201.55","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp47 AND Exp31 AND Exp6 AND Exp57","201.55"
"GADimensionH","214.25","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp48 AND Exp31 AND Exp6 AND Exp57","214.25"
"GADimensionH","226.95","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp49 AND Exp31 AND Exp6 AND Exp57","226.95"
"GADimensionH","236.35","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp50 AND Exp31 AND Exp6 AND Exp57","236.35"
"GADimensionH","246","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp51 AND Exp31 AND Exp6 AND Exp57","246"
"GADimensionH","87.25","mm","length","Exp1 AND Exp2 AND Exp11 AND Exp55 AND Exp56 AND Exp21 AND Exp33 AND Exp6 AND Exp57","87.25"
