"ProductCode","SelectionGroup","PartNumber","Order","Active","DefaultItem","Cost","ExclusionRule","Name","Description","AdditionalData","InShortenedList"
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HC2",20,True,False,0,"NOT(CH/FPD/CUST/STD=A2)","5/16 in.","5/16 in.","0.0079375",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HC3",21,True,False,0,"NOT(CH/FPD/CUST/STD=A2)","11/32 in.","11/32 in.","0.00873125",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HC4",22,True,False,0,"NOT(CH/FPD/CUST/STD=A2)","3/8 in.","3/8 in.","0.009525",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HC5",23,True,False,0,"NOT(CH/FPD/CUST/STD=A2)","13/32 in.","13/32 in.","0.01031875",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HC6",24,True,False,0,"NOT(CH/FPD/CUST/STD=A2)","7/16 in.","7/16 in.","0.0111125",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HC7",25,True,False,0,"NOT(CH/FPD/CUST/STD=A2)","15/32 in.","15/32 in.","0.01190625",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HC8",26,True,False,0,"NOT(CH/FPD/CUST/STD=A2)","½ in.","½ in.","0.0127",False
"FPD150","CH/FPD/DRAIN/VENT/SIZE","HZ9",27,True,False,999999,"","Others","Others","Customer",False
"FPD150","CH/FPD/SURFACE/TREAT","P1",1,True,False,999999,"","Oxygen Cleaning","Oxygen Cleaning",,False
"FPD150","CH/FPD/SURFACE/TREAT","Z9",2,True,False,999999,"","Others","Others",,False
"FPD150","CH/FPD/CERTIFICATION","C2",1,True,False,0,"CH/FPD/CERTIFICATION=C3","Material Certs acc. EN 10204 3.1","Material Certs acc. EN 10204 3.1",,False
"FPD150","CH/FPD/CERTIFICATION","C3",2,True,False,999999,"CH/FPD/CERTIFICATION=C2","Material Certs acc. EN 10204 3.2","Material Certs acc. EN 10204 3.2",,False
"FPD150","CH/FPD/CERTIFICATION","CN",3,True,False,0,"","Material acc. NACE MR0175","Material acc. NACE MR0175",,False
"FPD150","CH/FPD/CERTIFICATION","CM",4,True,False,0,"","Material acc. NACE MR0103","Material acc. NACE MR0103",,False
"FPD150","CH/FPD/CERTIFICATION","CA",5,True,False,11.5,"","Positive Material Identification (Niton XRF)","Positive Material Identification (Niton XRF)",,False
"FPD150","CH/FPD/CERTIFICATION","C6",6,True,False,52.5,"","100% Dimensional Check","100% Dimensional Check",,False
"FPD150","CH/FPD/CERTIFICATION","Z9",7,True,False,999999,"","Others","Others",,False
"FPD150","CH/FPD/TESTING","CH1",1,True,False,999999,"(CH/FPD/TESTING=CH2) OR (CH/FPD/PLATE/THICK=S01 OR CH/FPD/PLATE/THICK=S02 OR CH/FPD/PLATE/THICK=S03 OR CH/FPD/PLATE/THICK=S04 OR CH/FPD/PLATE/THICK=S05 OR CH/FPD/PLATE/THICK=S06 OR CH/FPD/PLATE/THICK=S07)","Impact Testing @ -46 °C","Impact Testing @ -46 °C",,False
